"candidate","k_min","k_m2","A","B","Phi050","nearest_pair_multiplicity","pair_indices","design_sha256"
16,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;7;10","0e8afe93f3e86d6f9fde987eb61733bb306c0775b91810164c10db4947a4291f"
17,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;7;11","6589c231d762968095100b7cee1deae0473659929316687ae66b83d8e5a5271e"
18,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;7;12","b30296b121332bf4ed223aeaea8bed6431a852f525c79e03e94d2dcf4f6cb2aa"
19,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;8;9","2d58d051e16f07ce6d4546fd57a69128eaa8862b3f4b2665e0017633b34b16ad"
20,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;4;8;10","a554ef99bd737ecbf61816386a392e23dd221318d2a0dd2838f0cadd90d8b824"
21,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;8;11","67eb6e0af3a03501933489d91895c726060274d69fb268e65825b6cad954eedd"
22,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;4;8;12","47e219c733392866214fa21df4a0c664b75aa9aed33a00c2d80f516a7934d0b3"
23,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;4;9;10","5af2d56ea37a2e5971a9b4a303c2b6504391b5254f54570cafcd24ccb115dc57"
24,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;9;11","0b8c6bc93aeee8b8a23e006667ec46997fedaacb47101f69cd2e172c5e892630"
25,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;4;9;12","2d55b519fc704a04b341f5c557729609a2d85ff17be4ddc695421c954b5a327f"
26,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;4;10;11","cf9e23333540c3646dfcfaf330ce7e6be383a4f4d5513fc58ee2b5346db1089a"
27,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;10;12","c78febe6eb8c1baeb036add6d1c4e74a4b6c129e1837d57bff8bb331010dea14"
28,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;11;12","95ab1de81fcad5b04a4206ed9281eecc2e6cdf907a9b7dd5bf7f16860c6eecee"
29,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;5;6;7","7abefe01ff1673f55a038d2ffc60cfc2e9ad2ebf894191ad3b0aacb8b71f81a8"
30,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;6;8","df0400c56008b4830dad21bc14e18a558b8cf28fbcbdb287771b6c88e8832a02"
31,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;6;9","4a8ccb773a512997153ca40cb8da3da4530b3e002bacc69f0b61ec7078ad9f3d"
32,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;5;6;10","a01926e22fd82894a4c1f9a1bee5b616d4db424f7764cb79de9aa5332d763213"
33,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;6;11","32e3647e0904f0549da108003b9c276dbac36992a02a42a3e1a3692c85803634"
34,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;5;6;12","57f789567d1172f1b177cb0735913c36d392e1354c519b2dc37f68bc789fa060"
35,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;5;7;8","eff763ea8e1691dee0c7e0c5cc6006b68a99bc44076219a73db55a560b659132"
36,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;7;9","cfe82211b36078658659c56f3ffc0f549faec9f94767ecdc1b1e8462bbc4ae11"
37,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;5;7;10","b47a7833693b9eca2e5cb42a391d2a192e0fb23a39c99415873172dfaecebccf"
38,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;7;11","89c67be846193c0f9ff291a916b208880da546da4bdbda4b7a11299db336144a"
39,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;5;7;12","4278c1ef750125e2a238646bc2e82dc70515480a0e2942722858d3310eb03a56"
40,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;5;8;9","d22613b511702019a63de28033f61a95716ead2e1d93c377370cad6f87397391"
41,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;8;10","cdda2c76119cef0e5966ec3dd45e055e46fa0d65a6bab5f0abf59abcf5325496"
42,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;5;8;11","184a4d35ce69808e82d5bb4b03cbc4e4a903af2aa2fdc49349bb3b0328423913"
43,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;8;12","a58bb5a4d0ff47f5fcb045065d093dd09ad37cc53d0e5ab686749bc15d1b9c5b"
44,1,12.5454545454545,0,0.875,0.4375,6,"1;2;3;5;9;10","c3ce48e9eb4b73e2c4cc47a327ac0cbbd04e7880047662eba6cc9c1afd63d000"
45,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;5;9;11","230870322ec3b20ebd367b21bd69e3624028e9496d8cd47e527d83e542f44296"
46,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;9;12","52f65ce8ffd739e94f4d1f2aa9a90065753a9e97658cd690835763a8c2bdbd9d"
47,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;5;10;11","26e1015e9261105c55e5c4df10ca1c5374eb94051e4c053eaac39cf24ec5fc53"
48,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;5;10;12","76d69d9a268af255eef50a6a18b81ac8a21a6f405f61dfba5e4c37473713ab29"
49,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;5;11;12","f6ad13c6d54ae876c0bfa6ba7c3254f7cf7e3a7bbde0d903a5320af8a8a6f155"
50,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;6;7;8","22ab107d461b7c65348523d2ccc254478b02671d5fe7c95ebc9d297aab65a98d"
51,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;6;7;9","2c9beeab81145986d4cf7f5d5a87ab6e404b130c7f8a6396258610de3066a065"
52,1,12.7878787878788,0,0.791666666666667,0.395833333333333,6,"1;2;3;6;7;10","ef00ab7b1ff99f4b7769058355206e42f45be21fef3dff6fab2431c5ddd0034c"
53,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;6;7;11","d0b073f91ef51bab4913acb9ac712cf66df8ecccd9eefbee464ddc874295b1ea"
54,1,12.7878787878788,0,0.791666666666667,0.395833333333333,6,"1;2;3;6;7;12","795f924e1d47eb77b5b963cb3b4ece8f9e430ebf846d487cb4c3f2da52bc3402"
55,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;6;8;9","2dd2e3f0cedbf90a8ba234d02b1d5001224361a3812ffb016d8e940c18dfe625"
56,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;6;8;10","c9705b2cb67ffef5c5ff7ce3bca6ed234eaaf9a97c42f992245da0443b6efdf1"
57,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;6;8;11","2e7f5c065121231f0cf180569e61de06faa9148808612a0efbf8ec1caf935091"
58,1,12.6060606060606,0,0.854166666666667,0.427083333333333,6,"1;2;3;6;8;12","462f69e04ff97eb5adfefe4dd03bdc06eeb2754a24e6905a49ee5f8a5d8821fc"
59,1,12.6060606060606,0,0.854166666666667,0.427083333333333,6,"1;2;3;6;9;10","96af0ce191a98a98a6d10f29228009cdf7108f2facb810bd93688be944ed7e99"
60,1,12.7878787878788,0,0.791666666666667,0.395833333333333,8,"1;2;3;6;9;11","578a5ccc934e463609a694fe9b319a954848a4dd4a5c226c8091018ba202a438"
61,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;6;9;12","f67efbb9aa238abcd4cd69f2ccc9169a8c31d0854810198635c39160ebdc5ce3"
62,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;6;10;11","98e783c96b1acd28db86f1fff8438a0ca9310dc6d883f0352c3f72efd3e3a755"
63,1,12.5454545454545,0,0.875,0.4375,4,"1;2;3;6;10;12","f8ee1c7095cf7515e429cf1650f7bf3d923f379cf72e5685d7704049cc9f42b6"
64,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;6;11;12","75e2acf17dd07698d2a3b968003a182c9fb7d35cddc86edde51029d9cad81c5d"
65,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;7;8;9","861e0de9dfdee61e58a6f26d1e321d69f1ccd736b0e142cdb795678b1febf681"
66,1,13.3333333333333,0,0.604166666666667,0.302083333333333,12,"1;2;3;7;8;10","59cdfbd0b39edecd148093e614255a454cda2d83a60b0b0d3eece6fef9914f9f"
67,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;7;8;11","4b1daba71891f0c88b7d07efd8a53fee1236f8710649684bddb9048319cbdba8"
68,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;7;8;12","58ff4f7522a953be1647136bade25911b7eb80a956c551757f6d97e6dc84bdc7"
69,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;7;9;10","926ebef367ff3beb7718e335be881362698d67aadba05bfd469e6264c48eaab4"
70,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;7;9;11","e946ace33449df952cf40fb1d64d63704054f6c1208fa8721cbf822ec982882a"
71,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;7;9;12","7f0aaf7d34bcd8334da0de2c84cdbdea5a83265fce62bcf2c8202b84887d5a7a"
72,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;7;10;11","17259c9cb543449fe663d75833265a598c133e473844c8a4fda1e7d7114e5a83"
73,1,12.7878787878788,0,0.791666666666667,0.395833333333333,6,"1;2;3;7;10;12","bd90db83f1d47f6540cf64ced8f7beeee85d7944623668dca7c315b42998effe"
