"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",5,20,0.4,1,1914054197,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda040_rep01.rds",0.669214659685864,6000,0.0349999999999984,2,5.26315789473684,31.3894736842105,0.25,0.94869109947644,0.669214659685864,5,30.7017543859649,44.1052631578947
"distance",10,40,0.4,1,2061208757,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda040_rep01.rds",0.768938794354307,6000,0.145,11,23.0769230769231,567.230769230769,0.476190476190476,0.96410433979686,0.768938794354307,22,551.282051282051,995.589743589744
"distance",20,80,0.4,1,1227082891,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda040_rep01.rds",0.820042599685682,6000,0.821999999999999,56,96.2025316455696,9583.02911392405,0.585106382978723,0.976666744156988,0.820042599685682,95,9379.74683544304,18091.8734177215
"distance",5,25,0.4,1,2039913159,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda040_rep01.rds",0.675005841741901,6000,0.048,2,5.2,30.9266666666667,0.25,0.958343069569835,0.675005841741901,5,30.3819444444444,43.4583333333333
"distance",10,50,0.4,1,1922739755,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda040_rep01.rds",0.751252954458426,6000,0.194000000000001,10,22.9591836734694,563.318367346939,0.428571428571429,0.966373971716425,0.751252954458426,22,548.469387755102,990.061224489796
"distance",20,100,0.4,1,636906563,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda040_rep01.rds",0.814313270534215,6000,1.002,54,95.959595959596,9518.52848484848,0.563829787234043,0.981302259400996,0.814313270534215,95,9356.06060606061,18045.2323232323
"distance",5,5,0.5,1,776769821,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda050_rep01.rds",0.778023758099352,6000,0.0120000000000005,4,6,40.2,0.75,0.806047516198704,0.778023758099352,5,36.4583333333333,55.75
"distance",10,10,0.5,1,329149295,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda050_rep01.rds",0.87111674137595,6000,0.0329999999999995,20,25,676.644444444444,0.904761904761905,0.837471577989995,0.87111674137595,22,597.222222222222,1085.88888888889
"distance",20,20,0.5,1,2057914064,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda050_rep01.rds",0.835828770982411,6000,0.125999999999999,73,100,10605.3894736842,0.765957446808511,0.905700095156312,0.835828770982411,95,9750,18820.9473684211
"distance",5,10,0.5,1,2052540360,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n010_lambda050_rep01.rds",0.815097799511002,6000,0.0280000000000005,4,5.55555555555556,34.2222222222222,0.75,0.880195599022005,0.815097799511002,5,32.4074074074074,47.5555555555556
